nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,c_ages,c_males,c_years,c_debts,c_s0s,c_s1s,c_s2s,c_s3s,c_s4s,c_s5s,c_s6s,c_s7s,c_s8s,c_s9s,c_s10s,c_snums
426,24,136,2,64,185,15,0,6.87096774193548,0.387096774193548,2.19354838709677,0.032258064516129,1.03225806451613,2.98387096774194,0.241935483870968,0,0,62,,,,19,0,0,0,0,1,0,0,0,0,0,0,1
1361,62,312,11,221,725,30,3,14.4787234042553,0.659574468085106,3.31914893617021,0.117021276595745,2.35106382978723,7.71276595744681,0.319148936170213,0.0319148936170212,1,94,,,,,0,1,0,1,1,0,0,1,0,0,0,4
23,0,4,0,12,6,1,0,3.28571428571429,0,0.571428571428571,0,1.71428571428571,0.857142857142857,0.142857142857143,0,0,7,,,,,0,1,0,0,1,0,1,0,0,0,0,3
4,0,2,0,0,2,0,0,1,0,0.5,0,0,0.5,0,0,0,4,,,,,0,0,0,0,1,0,0,0,0,0,0,1
85,8,22,2,14,38,1,2,2.65625,0.25,0.6875,0.0625,0.4375,1.1875,0.03125,0.0625,0,32,25,,,,0,0,0,1,1,0,0,0,1,1,0,4
52,7,13,0,16,15,1,0,3.46666666666667,0.466666666666667,0.866666666666667,0,1.06666666666667,1,0.0666666666666666,0,0,15,45,,,,0,0,0,1,0,0,0,0,0,0,0,1
799,22,307,4,128,279,59,10,14.5272727272727,0.4,5.58181818181818,0.0727272727272727,2.32727272727273,5.07272727272727,1.07272727272727,0.181818181818182,0,55,,,,,0,1,1,1,1,1,1,1,1,1,0,9
29,0,5,0,1,23,0,22,5.8,0,1,0,0.2,4.6,0,4.4,0,5,,,,,0,0,0,1,0,0,0,0,0,0,0,1
5,0,1,0,0,4,0,0,1.66666666666667,0,0.333333333333333,0,0,1.33333333333333,0,0,0,3,,,,,0,0,0,0,1,0,0,0,0,0,0,1
33,1,8,1,5,16,2,2,2.75,0.0833333333333333,0.666666666666667,0.0833333333333333,0.416666666666667,1.33333333333333,0.166666666666667,0.166666666666667,0,12,,,,4,0,0,0,0,0,1,0,0,0,0,0,1
13,0,1,0,4,8,0,0,1.625,0,0.125,0,0.5,1,0,0,1,8,,,,,0,0,0,1,1,0,0,0,0,0,0,2
20,3,5,0,2,9,1,0,2.5,0.375,0.625,0,0.25,1.125,0.125,0,0,8,,,,,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,,,,10,0,1,0,1,1,1,1,0,1,0,0,6
136,0,39,0,25,68,4,15,5.44,0,1.56,0,1,2.72,0.16,0.6,0,25,,,,,0,0,0,1,1,0,0,1,0,0,0,3
58,3,30,3,4,17,1,0,1.93333333333333,0.1,1,0.1,0.133333333333333,0.566666666666667,0.0333333333333333,0,0,30,25,1,,,0,0,0,1,0,0,0,0,0,0,0,1
829,24,346,2,132,299,26,4,15.6415094339623,0.452830188679245,6.52830188679245,0.0377358490566037,2.49056603773585,5.64150943396226,0.490566037735849,0.0754716981132075,0,53,,1,600,4,0,1,0,1,1,0,0,0,0,0,0,3
9,1,0,1,0,7,0,0,2.25,0.25,0,0.25,0,1.75,0,0,0,4,,,,,0,0,0,0,1,0,0,0,0,0,0,1
11,2,2,0,1,6,0,7,3.66666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,2,0,2.33333333333333,0,3,,,,,0,0,0,1,0,1,0,0,0,0,0,2
32,4,7,1,4,12,4,1,3.55555555555556,0.444444444444444,0.777777777777778,0.111111111111111,0.444444444444444,1.33333333333333,0.444444444444444,0.111111111111111,1,9,25,1,,,0,0,0,0,0,0,0,1,0,0,0,1
89,3,34,0,18,34,0,0,3.56,0.12,1.36,0,0.72,1.36,0,0,0,25,,1,,,0,0,0,0,1,1,0,0,0,0,0,2
4,0,2,0,0,2,0,0,1.33333333333333,0,0.666666666666667,0,0,0.666666666666667,0,0,0,3,,,,,0,1,0,0,0,1,0,0,0,0,0,2
