nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,cl2
11,0,3,1,0,7,0,0,2.75,0,0.75,0.25,0,1.75,0,0,1,4,10
37,2,6,0,4,24,1,0,5.28571428571429,0.285714285714286,0.857142857142857,0,0.571428571428571,3.42857142857143,0.142857142857143,0,0,7,10
13,1,4,0,2,5,1,2,2.16666666666667,0.166666666666667,0.666666666666667,0,0.333333333333333,0.833333333333333,0.166666666666667,0.333333333333333,0,6,10
127,11,41,0,15,52,8,1,4.23333333333333,0.366666666666667,1.36666666666667,0,0.5,1.73333333333333,0.266666666666667,0.0333333333333333,1,30,10
8,3,1,0,1,3,0,0,2,0.75,0.25,0,0.25,0.75,0,0,0,4,10
289,15,121,2,42,105,4,2,8.02777777777778,0.416666666666667,3.36111111111111,0.0555555555555555,1.16666666666667,2.91666666666667,0.111111111111111,0.0555555555555555,1,36,10
111,28,20,0,12,46,5,0,4.44,1.12,0.8,0,0.48,1.84,0.2,0,0,25,10
185,8,18,1,84,72,2,1,3.7,0.16,0.36,0.02,1.68,1.44,0.04,0.02,0,50,10
581,21,210,6,90,209,45,3,9.68333333333333,0.35,3.5,0.1,1.5,3.48333333333333,0.75,0.05,0,60,10
54,8,14,0,10,14,8,2,2.45454545454545,0.363636363636364,0.636363636363636,0,0.454545454545454,0.636363636363636,0.363636363636364,0.0909090909090909,0,22,10
1732,45,503,0,328,844,12,0,54.125,1.40625,15.71875,0,10.25,26.375,0.375,0,1,32,10
22,1,6,0,4,9,2,3,2.44444444444444,0.111111111111111,0.666666666666667,0,0.444444444444444,1,0.222222222222222,0.333333333333333,0,9,10
15,2,2,0,2,8,1,3,3.75,0.5,0.5,0,0.5,2,0.25,0.75,0,4,10
4,0,0,0,0,3,1,2,2,0,0,0,0,1.5,0.5,1,0,2,10
7,0,1,0,1,4,1,0,2.33333333333333,0,0.333333333333333,0,0.333333333333333,1.33333333333333,0.333333333333333,0,0,3,10
504,3,164,2,50,253,32,0,7.52238805970149,0.044776119402985,2.44776119402985,0.0298507462686567,0.746268656716418,3.77611940298507,0.477611940298507,0,0,67,10
40,2,8,1,5,20,4,24,4.44444444444444,0.222222222222222,0.888888888888889,0.111111111111111,0.555555555555556,2.22222222222222,0.444444444444444,2.66666666666667,0,9,10
27,3,6,0,3,11,4,0,3,0.333333333333333,0.666666666666667,0,0.333333333333333,1.22222222222222,0.444444444444444,0,0,9,10
10,3,1,0,2,4,0,4,1.66666666666667,0.5,0.166666666666667,0,0.333333333333333,0.666666666666667,0,0.666666666666667,0,6,10
182,10,87,2,29,52,2,0,4.78947368421053,0.263157894736842,2.28947368421053,0.0526315789473684,0.763157894736842,1.36842105263158,0.0526315789473684,0,0,38,10
31,3,5,1,9,13,0,2,1.9375,0.1875,0.3125,0.0625,0.5625,0.8125,0,0.125,0,16,10
4048,114,1587,14,713,1539,81,0,43.5268817204301,1.2258064516129,17.0645161290323,0.150537634408602,7.66666666666667,16.5483870967742,0.870967741935484,0,1,93,10
16,0,3,1,3,9,0,0,1.77777777777778,0,0.333333333333333,0.111111111111111,0.333333333333333,1,0,0,0,9,10
2,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,1,10
26,1,6,0,3,14,2,3,3.25,0.125,0.75,0,0.375,1.75,0.25,0.375,0,8,10
289,23,96,0,46,111,13,0,5.07017543859649,0.403508771929825,1.68421052631579,0,0.807017543859649,1.94736842105263,0.228070175438596,0,0,57,10
10,1,2,0,1,5,1,0,1.11111111111111,0.111111111111111,0.222222222222222,0,0.111111111111111,0.555555555555556,0.111111111111111,0,1,9,10
14,1,2,0,0,7,4,3,3.5,0.25,0.5,0,0,1.75,1,0.75,0,4,10
353,5,138,2,52,133,23,2,10.3823529411765,0.147058823529412,4.05882352941176,0.0588235294117647,1.52941176470588,3.91176470588235,0.676470588235294,0.0588235294117647,0,34,10
